FEATURE,WEIGHT0
"('Chol', 'STD_VALUE')",0.001480344374193629
"('Cl', 'MAX_VALUE')",0.0003348217498442992
"('Cl', 'MEAN_VALUE')",0.0016577593946913232
"('Cl', 'MEASURE_COUNTS')",0.0006582537277046747
"('Cl', 'MEDIAN_VALUE')",0.0004228184107907209
"('Cl', 'MIN_VALUE')",0.0008308965991503507
"('Cl', 'STD_VALUE')",0.0009648203206722536
"('ClTime', 'MAX_VALUE')",0.0
"('ClTime', 'MEAN_VALUE')",0.0007302323461861746
"('ClTime', 'MEASURE_COUNTS')",0.0
"('ClTime', 'MEDIAN_VALUE')",0.0
"('ClTime', 'MIN_VALUE')",0.0
"('ClTime', 'STD_VALUE')",0.0
"('Cort-S', 'MAX_VALUE')",0.00025051072964617216
"('Cort-S', 'MEAN_VALUE')",0.0
"('Cort-S', 'MEASURE_COUNTS')",0.00020490219349364024
"('Cort-S', 'MEDIAN_VALUE')",0.00044150518816214843
"('Cort-S', 'MIN_VALUE')",0.001808746691873348
"('Cort-S', 'STD_VALUE')",0.0008570621499441124
"('CrePOC', 'MAX_VALUE')",0.0
"('CrePOC', 'MEAN_VALUE')",0.0
"('CrePOC', 'MEASURE_COUNTS')",0.0
"('CrePOC', 'MEDIAN_VALUE')",0.0
"('CrePOC', 'MIN_VALUE')",0.0
"('CrePOC', 'STD_VALUE')",0.0
"('Creat', 'MAX_VALUE')",0.0029557624086597356
"('Creat', 'MEAN_VALUE')",0.001665845774030515
"('Creat', 'MEASURE_COUNTS')",0.0
"('Creat', 'MEDIAN_VALUE')",0.002434340960225786
"('Creat', 'MIN_VALUE')",0.001795081695424762
"('Creat', 'STD_VALUE')",0.00044541741744837744
"('D25OHT', 'MAX_VALUE')",0.000939243107037084
"('D25OHT', 'MEAN_VALUE')",0.0012526816251048514
"('D25OHT', 'MEASURE_COUNTS')",1.0964958018612656e-05
"('D25OHT', 'MEDIAN_VALUE')",0.0004429313113097986
"('D25OHT', 'MIN_VALUE')",0.0
"('D25OHT', 'STD_VALUE')",0.0
"('DirLDL', 'MAX_VALUE')",0.0004331885119332124
"('DirLDL', 'MEAN_VALUE')",0.00025053220828523946
"('DirLDL', 'MEASURE_COUNTS')",0.00036058286666569843
"('DirLDL', 'MEDIAN_VALUE')",6.543320385503858e-05
"('DirLDL', 'MIN_VALUE')",0.00015263449757395875
"('DirLDL', 'STD_VALUE')",0.00023378355211449973
"('EOSIA', 'MAX_VALUE')",0.0006313618543203415
"('EOSIA', 'MEAN_VALUE')",4.06826396516377e-06
"('EOSIA', 'MEASURE_COUNTS')",0.0
"('EOSIA', 'MEDIAN_VALUE')",0.00035109124015568087
"('EOSIA', 'MIN_VALUE')",0.0007277585861885913
"('EOSIA', 'STD_VALUE')",0.0003155201208135201
"('EOSIAB', 'MAX_VALUE')",0.0007630091943643564
"('EOSIAB', 'MEAN_VALUE')",0.0
"('EOSIAB', 'MEASURE_COUNTS')",0.0
"('EOSIAB', 'MEDIAN_VALUE')",0.001599060728101726
"('EOSIAB', 'MIN_VALUE')",0.0005570219775487968
"('EOSIAB', 'STD_VALUE')",0.00018636292778228823
"('EOSIM', 'MAX_VALUE')",0.0012097562322640142
"('EOSIM', 'MEAN_VALUE')",0.0004979510275421312
"('EOSIM', 'MEASURE_COUNTS')",0.0
"('EOSIM', 'MEDIAN_VALUE')",0.0005335901896224502
"('EOSIM', 'MIN_VALUE')",0.0003627481025791236
"('EOSIM', 'STD_VALUE')",0.00016866363434440743
"('EOSIRE', 'MAX_VALUE')",0.00041949229501434335
"('EOSIRE', 'MEAN_VALUE')",3.3296464278212804e-06
"('EOSIRE', 'MEASURE_COUNTS')",0.0
"('EOSIRE', 'MEDIAN_VALUE')",0.0
"('EOSIRE', 'MIN_VALUE')",0.001485465742517842
"('EOSIRE', 'STD_VALUE')",4.993471335919366e-06
"('EoAbs', 'MAX_VALUE')",0.0010743444371696307
"('EoAbs', 'MEAN_VALUE')",0.0007065665042461982
"('EoAbs', 'MEASURE_COUNTS')",0.0
"('EoAbs', 'MEDIAN_VALUE')",0.0005912687084062508
"('EoAbs', 'MIN_VALUE')",0.00018693170055438332
"('EoAbs', 'STD_VALUE')",0.0
"('Eos', 'MAX_VALUE')",0.001177707271553973
"('Eos', 'MEAN_VALUE')",0.0012284771401787251
"('Eos', 'MEASURE_COUNTS')",0.0
